year,school_name,department,specialty_name,score_level,result_min_score,final_admission_min_score,final_admission_max_score,admission_avg_score,school_retest_min_score,admission_score_raw,source_type,source_url,verify_status,notes
2026,国际关系学院,,公共外交与文化传播,官网拟录取最低分,331,331,402,352.33,,6人，初试分范围 331-402,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,国际关系学院,,国别与区域研究（美国研究）,官网拟录取最低分,355,355,355,355.0,,1人，初试分范围 355-355,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,国际关系学院,,国别与区域研究（非洲研究）,官网拟录取最低分,365,365,365,365.0,,1人，初试分范围 365-365,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,国际关系学院,,国家安全学,官网拟录取最低分,290,290,424,357.39,,33人，初试分范围 290-424,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,国际关系学院,,国家安全学（管理与保障）,官网拟录取最低分,285,285,409,347.0,,2人，初试分范围 285-409,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,国际关系学院,,国际关系,官网拟录取最低分,339,339,416,372.74,,27人，初试分范围 339-416,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,国际关系学院,,国际关系与国际法,官网拟录取最低分,369,369,369,369.0,,1人，初试分范围 369-369,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,国际关系学院,,国际政治,官网拟录取最低分,326,326,391,347.4,,10人，初试分范围 326-391,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,国际关系学院,,大数据技术与工程,官网拟录取最低分,268,268,371,315.85,,13人，初试分范围 268-371,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,国际关系学院,,应用心理,官网拟录取最低分,349,349,349,349.0,,1人，初试分范围 349-349,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,国际关系学院,,政治学理论,官网拟录取最低分,330,330,407,363.27,,15人，初试分范围 330-407,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,国际关系学院,,日语笔译,官网拟录取最低分,359,359,359,359.0,,1人，初试分范围 359-359,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,国际关系学院,,日语语言文学,官网拟录取最低分,357,357,357,357.0,,1人，初试分范围 357-357,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,国际关系学院,,法律（法学）,官网拟录取最低分,337,337,349,342.0,,3人，初试分范围 337-349,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,国际关系学院,,法律（非法学）,官网拟录取最低分,340,340,345,343.0,,4人，初试分范围 340-345,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,国际关系学院,,网络空间安全,官网拟录取最低分,307,307,335,321.33,,3人，初试分范围 307-335,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,国际关系学院,,英语口译,官网拟录取最低分,359,359,400,379.5,,2人，初试分范围 359-400,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,国际关系学院,,英语笔译,官网拟录取最低分,364,364,424,395.33,,3人，初试分范围 364-424,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,国际关系学院,,警务（警务方向）,官网拟录取最低分,321,321,417,364.74,,34人，初试分范围 321-417,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,国际关系学院,,警务（调查）,官网拟录取最低分,329,329,417,376.87,,23人，初试分范围 329-417,招生单位官网拟录取名单,https://yjszs.uir.cn/info/1421/7541.htm,官网表格按专业聚合,从招生单位官网拟录取名单按专业计算初试最低分。
2026,合肥工业大学,,交通运输,官网拟录取最低分,299,299,424,367.31,,32人，初试分范围 299-424,招生单位官网拟录取名单(WebFetch文本),http://yjszs.hfut.edu.cn/2026/0503/c13524a318955/page.htm,官网来源按专业聚合,从官网页面文本表格按专业计算初试最低分。
2026,合肥工业大学,,交通运输工程,官网拟录取最低分,275,275,362,324.77,,13人，初试分范围 275-362,招生单位官网拟录取名单(WebFetch文本),http://yjszs.hfut.edu.cn/2026/0503/c13524a318955/page.htm,官网来源按专业聚合,从官网页面文本表格按专业计算初试最低分。
2026,合肥工业大学,,人工智能,官网拟录取最低分,334,334,420,381.93,,131人，初试分范围 334-420,招生单位官网拟录取名单(WebFetch文本),http://yjszs.hfut.edu.cn/2026/0503/c13524a318955/page.htm,官网来源按专业聚合,从官网页面文本表格按专业计算初试最低分。
2026,合肥工业大学,,人工环境工程（含供热、通风及空调等）,官网拟录取最低分,293,293,385,341.23,,13人，初试分范围 293-385,招生单位官网拟录取名单(WebFetch文本),http://yjszs.hfut.edu.cn/2026/0503/c13524a318955/page.htm,官网来源按专业聚合,从官网页面文本表格按专业计算初试最低分。
2026,合肥工业大学,,仪器仪表工程,官网拟录取最低分,289,289,409,360.62,,146人，初试分范围 289-409,招生单位官网拟录取名单(WebFetch文本),http://yjszs.hfut.edu.cn/2026/0503/c13524a318955/page.htm,官网来源按专业聚合,从官网页面文本表格按专业计算初试最低分。
2026,合肥工业大学,,仪器科学与技术,官网拟录取最低分,303,303,391,340.22,,51人，初试分范围 303-391,招生单位官网拟录取名单(WebFetch文本),http://yjszs.hfut.edu.cn/2026/0503/c13524a318955/page.htm,官网来源按专业聚合,从官网页面文本表格按专业计算初试最低分。
2026,合肥工业大学,,会计,官网拟录取最低分,199,199,255,218.17,,36人，初试分范围 199-255,招生单位官网拟录取名单(WebFetch文本),http://yjszs.hfut.edu.cn/2026/0503/c13524a318955/page.htm,官网来源按专业聚合,从官网页面文本表格按专业计算初试最低分。
2026,合肥工业大学,,会计学,官网拟录取最低分,351,351,421,383.92,,13人，初试分范围 351-421,招生单位官网拟录取名单(WebFetch文本),http://yjszs.hfut.edu.cn/2026/0503/c13524a318955/page.htm,官网来源按专业聚合,从官网页面文本表格按专业计算初试最低分。
2026,合肥工业大学,,供热、供燃气、通风及空调工程,官网拟录取最低分,303,303,385,343.0,,4人，初试分范围 303-385,招生单位官网拟录取名单(WebFetch文本),http://yjszs.hfut.edu.cn/2026/0503/c13524a318955/page.htm,官网来源按专业聚合,从官网页面文本表格按专业计算初试最低分。
2026,合肥工业大学,,信息与通信工程,官网拟录取最低分,349,349,421,381.29,,28人，初试分范围 349-421,招生单位官网拟录取名单(WebFetch文本),http://yjszs.hfut.edu.cn/2026/0503/c13524a318955/page.htm,官网来源按专业聚合,从官网页面文本表格按专业计算初试最低分。
2026,合肥工业大学,,光学工程,官网拟录取最低分,270,270,392,343.86,,14人，初试分范围 270-392,招生单位官网拟录取名单(WebFetch文本),http://yjszs.hfut.edu.cn/2026/0503/c13524a318955/page.htm,官网来源按专业聚合,从官网页面文本表格按专业计算初试最低分。
2026,合肥工业大学,,光电信息工程,官网拟录取最低分,299,299,327,311.0,,4人，初试分范围 299-327,招生单位官网拟录取名单(WebFetch文本),http://yjszs.hfut.edu.cn/2026/0503/c13524a318955/page.htm,官网来源按专业聚合,从官网页面文本表格按专业计算初试最低分。
2026,合肥工业大学,,公共管理,官网拟录取最低分,168,168,244,189.73,,124人，初试分范围 168-244,招生单位官网拟录取名单(WebFetch文本),http://yjszs.hfut.edu.cn/2026/0503/c13524a318955/page.htm,官网来源按专业聚合,从官网页面文本表格按专业计算初试最低分。
2026,合肥工业大学,,制药工程,官网拟录取最低分,266,266,390,322.87,,31人，初试分范围 266-390,招生单位官网拟录取名单(WebFetch文本),http://yjszs.hfut.edu.cn/2026/0503/c13524a318955/page.htm,官网来源按专业聚合,从官网页面文本表格按专业计算初试最低分。
